Company,Count
"EQUIFAX, INC.",2929784
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2859795
Experian Information Solutions Inc.,2640226
"BANK OF AMERICA, NATIONAL ASSOCIATION",164221
WELLS FARGO & COMPANY,153320
JPMORGAN CHASE & CO.,150877
CAPITAL ONE FINANCIAL CORPORATION,140309
"CITIBANK, N.A.",119326
SYNCHRONY FINANCIAL,68236
"Block, Inc.",56382
AMERICAN EXPRESS COMPANY,48924
Resurgent Capital Services L.P.,48594
"Portfolio Recovery Associates, LLC",45365
ENCORE CAPITAL GROUP INC.,45110
U.S. BANCORP,43393
"Navient Solutions, LLC.",43137
DISCOVER BANK,41044
NAVY FEDERAL CREDIT UNION,39595
"Bread Financial Holdings, Inc.",38522
Ocwen Financial Corporation,36446
"CBC Companies, Inc.",35209
LEXISNEXIS,35146
TD BANK US HOLDING COMPANY,31536
"Early Warning Services, LLC",31108
"Paypal Holdings, Inc",30848
PNC Bank N.A.,28890
CL Holdings LLC,26780
ALLY FINANCIAL INC.,24785
BARCLAYS BANK DELAWARE,23476
"Nelnet, Inc.",21343
MOHELA,21165
NATIONSTAR MORTGAGE LLC,19296
TRUIST FINANCIAL CORPORATION,19279
"CCS Financial Services, Inc.",18487
"I.C. System, Inc.",17572
TRANSWORLD SYSTEMS INC,16918
UNITED SERVICES AUTOMOBILE ASSOCIATION,16622
Chime Financial Inc,16263
AES/PHEAA,16258
"CITIZENS FINANCIAL GROUP, INC.",16159
"Shellpoint Partners, LLC",15623
"SELECT PORTFOLIO SERVICING, INC.",15324
GOLDMAN SACHS BANK USA,15100
Ditech Financial LLC,14953
"National Credit Systems,Inc.",14289
Mr. Cooper Group Inc.,14256
"Fidelity National Information Services, Inc. (FNIS)",13405
FIFTH THIRD FINANCIAL CORPORATION,13227
Santander Consumer USA Holdings Inc.,12455
ERC,12423
HSBC NORTH AMERICA HOLDINGS INC.,12079
"SANTANDER HOLDINGS USA, INC.",11314
CREDIT ACCEPTANCE CORPORATION,11205
"Kriya Capital, LLC",10695
"Westlake Services, LLC",9865
"Affirm Holdings, Inc",9697
"SUNTRUST BANKS, INC.",9643
"Convergent Resources, Inc.",9079
REGIONS FINANCIAL CORPORATION,9005
M&T BANK CORPORATION,8937
OneMain Finance Corporation,8790
Specialized Loan Servicing Holdings LLC,8771
"Maximus Federal Services, Inc.",8704
"Coinbase, Inc.",8686
"CAINE & WEINER COMPANY, INC.",8541
Freedom Mortgage Company,8416
"General Motors Financial Company, Inc.",7972
"National Credit Adjusters, LLC",7947
Self Financial Inc.,7820
CORELOGIC INC,7482
KEYCORP,7407
"LoanCare, LLC",7392
Comerica,7324
TOYOTA MOTOR CREDIT CORPORATION,7126
"HUNTINGTON NATIONAL BANK, THE",7117
"HW Holding, Inc",7017
EdFinancial Services,6971
"CLGF Holdco 1, LLC",6765
"Exeter Finance, LLC.",6755
"Southwest Credit Systems, L.P.",6746
HYUNDAI CAPITAL AMERICA,6464
"CARRINGTON MORTGAGE SERVICES, LLC",6231
"ID Analytics, Inc.",6175
"BMO Bank, N.A.",5881
Radius Global Solutions LLC,5862
"Rocket Mortgage, LLC",5663
PENTAGON FEDERAL CREDIT UNION,5633
"Rowland Avenue Management, Inc. A/KA Columbia Debt Recovery, LLC d/b/a Genesis",5592
"Spring Oaks Capital, LLC",5578
BB&T CORPORATION,5525
Bridgecrest Acceptance Corporation,5344
BBVA FINANCIAL CORPORATION,5184
Netspend Corporation,5095
"CAVALRY INVESTMENTS, LLC",5091
"PENNYMAC LOAN SERVICES, LLC.",5078
SLM CORPORATION,5007
AFNI INC.,4950
"Diversified Consultants, Inc.",4939
NCB Management Services Inc.,4930
"Caliber Home Loans, Inc.",4743
"ENOVA INTERNATIONAL, INC.",4685
"Amsher Collection Services, Inc.",4652
"FAIR COLLECTIONS & OUTSOURCING, INC.",4643
"SUNRISE CREDIT SERVICES, INC",4578
T.S. Holdings,4527
"ProCollect, Inc.",4511
NISSAN MOTOR ACCEPTANCE COMPANY LLC,4503
"Seterus, Inc.",4489
Synovus Bank,4377
"WESTERN UNION COMPANY, THE",4362
"SANTANDER BANK, NATIONAL ASSOCIATION",4275
"Credit Karma, LLC",4221
"Flagstar Bank, N.A.",4209
"Commonwealth Financial Systems, Inc.",4136
AMERICAN HONDA FINANCE CORP,4053
