company,count
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2397435
"EQUIFAX, INC.",2373160
Experian Information Solutions Inc.,2202591
CAPITAL ONE FINANCIAL CORPORATION,64614
JPMORGAN CHASE & CO.,53099
"Block, Inc.",51447
WELLS FARGO & COMPANY,50134
"BANK OF AMERICA, NATIONAL ASSOCIATION",42671
"CITIBANK, N.A.",38684
Resurgent Capital Services L.P.,35834
"CBC Companies, Inc.",33531
"Early Warning Services, LLC",28003
LEXISNEXIS,27977
NAVY FEDERAL CREDIT UNION,27170
SYNCHRONY FINANCIAL,27152
ENCORE CAPITAL GROUP INC.,24805
AMERICAN EXPRESS COMPANY,22889
"Portfolio Recovery Associates, LLC",22795
CL Holdings LLC,21154
MOHELA,19402
DISCOVER BANK,19097
"Bread Financial Holdings, Inc.",18571
"Nelnet, Inc.",13402
"Paypal Holdings, Inc",13083
U.S. BANCORP,12742
Chime Financial Inc,12271
"CCS Financial Services, Inc.",12211
ALLY FINANCIAL INC.,11956
TD BANK US HOLDING COMPANY,11523
GOLDMAN SACHS BANK USA,11361
TRUIST FINANCIAL CORPORATION,11300
"SANTANDER HOLDINGS USA, INC.",10555
BARCLAYS BANK DELAWARE,9591
"Fidelity National Information Services, Inc. (FNIS)",9252
"I.C. System, Inc.",8959
"National Credit Systems,Inc.",8660
TRANSWORLD SYSTEMS INC,8509
"Affirm Holdings, Inc",8259
"Kriya Capital, LLC",7568
"Maximus Federal Services, Inc.",7435
"Shellpoint Partners, LLC",7385
PNC Bank N.A.,7243
CREDIT ACCEPTANCE CORPORATION,6910
"Westlake Services, LLC",6679
OneMain Finance Corporation,6675
Self Financial Inc.,6540
Mr. Cooper Group Inc.,6500
"CAINE & WEINER COMPANY, INC.",5687
UNITED SERVICES AUTOMOBILE ASSOCIATION,5616
EdFinancial Services,5576
"CITIZENS FINANCIAL GROUP, INC.",5493
"Navient Solutions, LLC.",5470
"CLGF Holdco 1, LLC",5198
"Rowland Avenue Management, Inc. A/KA Columbia Debt Recovery, LLC d/b/a Genesis",5044
"Spring Oaks Capital, LLC",4991
CORELOGIC INC,4387
"National Credit Adjusters, LLC",4314
"Exeter Finance, LLC.",4216
"ID Analytics, Inc.",3982
FIFTH THIRD FINANCIAL CORPORATION,3938
"SOFI TECHNOLOGIES, INC.",3802
Bridgecrest Acceptance Corporation,3624
"HW Holding, Inc",3599
Radius Global Solutions LLC,3457
"General Motors Financial Company, Inc.",3397
T.S. Holdings,3382
Kikoff Inc.,3325
TOYOTA MOTOR CREDIT CORPORATION,3314
"BMO Bank, N.A.",3251
NCB Management Services Inc.,3143
"W&A Intermediate Co., LLC",3126
Ocwen Financial Corporation,3088
"SUNRISE CREDIT SERVICES, INC",3079
Freedom Mortgage Company,3066
"Southwest Credit Systems, L.P.",3036
HYUNDAI CAPITAL AMERICA,2827
"SELECT PORTFOLIO SERVICING, INC.",2775
"Amsher Collection Services, Inc.",2766
"Coinbase, Inc.",2743
ROBINHOOD MARKETS INC.,2737
"HUNTINGTON NATIONAL BANK, THE",2679
"FAIR COLLECTIONS & OUTSOURCING, INC.",2648
REGIONS FINANCIAL CORPORATION,2578
M&T BANK CORPORATION,2546
Atlanticus Services Corporation,2511
"Aldous & Associates, PLLC",2507
Global Lending Services LLC,2482
Synovus Bank,2441
"ProCollect, Inc.",2438
Comerica,2339
"UPGRADE, INC.",2337
PENTAGON FEDERAL CREDIT UNION,2324
Servicer under contract with Federal Student Aid,2317
TrueAccord Corp.,2304
"Credit Karma, LLC",2254
LCI Acquisition Inc.,2108
Incomm Holdings Inc.,2089
"ENOVA INTERNATIONAL, INC.",2057
"CAVALRY INVESTMENTS, LLC",2052
Advanced Resolution Services Inc.,2050
Velocity Portfolio Group,1947
Netspend Corporation,1943
SLM CORPORATION,1913
FC HoldCo LLC,1895
Source Receivables Management LLC,1895
KEYCORP,1891
"CarMax, Inc.",1870
"ACIMA CREDIT, LLC",1854
"PENNYMAC LOAN SERVICES, LLC.",1808
"Harris & Harris, Ltd.",1800
FISERV INC.,1796
NISSAN MOTOR ACCEPTANCE COMPANY LLC,1782
CCF Intermediate Holdings LLC,1779
"NRA Group, LLC",1773
World Acceptance Corporation,1761
"Eastern Account Systems of Connecticut, Inc.",1745
V and H Portfolio,1737
"Sequium Asset Solutions, LLC",1735
"Upstart Holdings, Inc.",1715
"Security Credit Services, LLC",1707
"CARRINGTON MORTGAGE SERVICES, LLC",1672
"American Credit Acceptance, LLC",1649
Credit Corp Solutions Inc.,1644
"Consumer Portfolio Services, Inc.",1613
"Credit Control, LLC",1596
"Continental Finance Company, LLC",1582
"John C. Heath, Attorney at Law, PLLC",1576
"Collection Management Holdings, LLC",1563
"LoanCare, LLC",1548
"Rocket Mortgage, LLC",1546
MoneyLion Inc.,1539
NEW YORK COMMUNITY BANCORP INC,1534
Mercedes Benz Financial Services,1519
AMERICAN HONDA FINANCE CORP,1497
FIRST NATIONAL BANK OF OMAHA,1489
"Avant Holding Company, Inc.",1485
Central Portfolio Control Inc.,1450
"FactorTrust, Inc.",1445
Rent Recovery Solutions,1422
Selene Holdings LLC,1411
"The CBE Group, Inc.",1406
"ONLINE Information Services, Inc.",1401
"Ability Recovery Services, LLC",1377
"Lockhart, Morris & Montgomery Inc.",1365
Consumer Adjustment Company Incorporated,1335
"Diversified Adjustment Service, Inc.",1317
Absolute Resolutions Corp.,1290
"Capio Partners, LLC",1284
"Cascade CISS Holdings, LLC",1267
FORD MOTOR CREDIT CO.,1238
MicroBilt / PRBC (formerly CL Verify),1231
"Fay Servicing, LLC",1191
"MRS BPO, LLC",1186
LJ Ross Associates,1142
TransferWise Ltd,1141
"Bull City Financial Solutions, Inc",1136
Possible Financial Inc,1109
"RentDebt Automated Collections, LLC",1057
"BMW Financial Services NA, LLC",1049
"Opportunity Financial, LLC",1047
AES/PHEAA,1034
"Aargon Agency, Inc.",1031
"Debt Recovery Solutions, LLC",1028
"MARINER FINANCE, LLC",1020
VW Credit,1010
Zions Debt Holdings,1009
FIRST PORTFOLIO SERVICING INC,1008
HSBC NORTH AMERICA HOLDINGS INC.,1004
Specialized Loan Servicing Holdings LLC,988
OPORTUN FINANCIAL CORPORATION,965
"Open Dealer Exchange, LLC",960
TekCollect Inc.,937
RoundPoint Mortgage Servicing LLC,926
"The CMI Group, Inc.",911
Lendmark Financial Services,904
STATE EMPLOYEES CREDIT UNION,898
"Halsted Financial Services, LLC.",897
"United Shore Financial Services, LLC",882
FinCo Services Inc DBA Current,882
Army and Air Force Exchange Service,880
"Colony Brands, Inc.",874
"Credit Systems International, Inc.",863
BTH Management,851
"WESTERN UNION COMPANY, THE",844
Penn Credit Corporation,834
Monterey Financial Services LLC,826
ERC,811
"Convergent Resources, Inc.",802
Klarna AB,802
"Paramount GR Holdings, LLC",797
"Professional Debt Mediation, Inc.",796
"LAKEVIEW LOAN SERVICING, LLC",796
"Medical Data Systems, Inc.",744
"Waypoint Resource Group, LLC",742
United PanAm Financial Corp.,727
"The Bureaus, Inc.",723
The Receivable Management Services LLC,720
CrossCountry Mortgage LLC,720
"LD Holdings Group, LLC",714
Alorica Inc.,712
VYSTAR CREDIT UNION,707
"Conn's, Inc.",706
"Checkr, Inc",702
"United Collection Bureau, Inc.",701
Regional Management Corporation,698
SUNCOAST CREDIT UNION,691
MIDFIRST BANK,684
World Omni Financial Corp.,682
Thaxton Investment Corporation,671
SECURITY FINANCE CORP,670
"Foris DAX, Inc.",668
"PLANET HOME LENDING, LLC",660
FirstPoint Collection Resources,651
Winklevoss Exchange LLC,642
"Prosper Marketplace, Inc.",639
"American First Finance, Inc.",638
CONTRACT CALLERS INC,635
"Bounce AI, Inc.",633
ALLIANT CREDIT UNION,624
"Continental Services Group, Inc. d/b/a ConServe",622
"National Consumer Telecom & Utilities Exchange, Inc.",621
FIRST ADVANTAGE CORPORATION,610
"Carvana Group, LLC",608
"Marlette Funding, LLC",603
First Credit Services Inc.,603
CNG FINANCIAL CORPORATION,599
Stellantis Financial Services US Corp.,597
Sezzle Inc.,592
AmeriCollect,586
"WEBSTER BANK, NATIONAL ASSOCIATION",575
"BSI Financial Holdings, Inc.",571
Unifin Inc.,568
ADP Inc.,548
"Byrider Franchising, LLC",541
Westcreek Financial,533
"Williams & Fudge, Inc",526
"Tower Loan of Mississippi, Inc.",525
"OPTUM BANK, INC.",523
Solar Mosaic LLC,520
Phoenix Financial Services LLC,518
"Helvey & Associates, Inc., Warsaw, IN Branch",517
"AXOS FINANCIAL, INC.",510
MONEYGRAM PAYMENT SYSTEMS WORLDWIDE INC,504
United Revenue Corporation,501
DIGITAL FEDERAL CREDIT UNION,494
Kovo,488
"Kimball, Tirey & St. John LLP",483
"FIRST CITIZENS BANCSHARES, INC.",479
"CHARLES SCHWAB CORPORATION, THE",478
Google Compare Credit Cards Inc.,474
"EGL US, LLC",472
"RFNA, LP",472
Blackhawk Network Holdings Inc.,470
Conduent Incorporated,469
Larry H. Miller Group of Companies,467
"Sunbit, Inc.",467
"Firstsource Business Process Services, LLC",467
"AmeriHome Mortgage Company, LLC",463
FREEDOM FINANCIAL NETWORK,460
Diverse Funding Associates LLC,459
"Ava Finance, Inc",454
"January Technologies, Inc",446
"Cedars Business Services, LLC",438
AFNI INC.,435
"Southwest Recovery Services, Inc.",434
BANCO POPULAR DE PUERTO RICO,433
"Receivables Management Partners, LLC",428
HCFS Healthcare Financial Services of TeamHealth,426
"BANK OF NEW YORK MELLON CORPORATION, THE",424
HEARTLAND PAYMENT SYSTEMS INC,418
First Technology Federal Credit Union,414
"Dovenmuehle Mortgage, Inc.",412
"ARVEST BANK GROUP, INC.",407
MOUNTAIN AMERICA FEDERAL CREDIT UNION,403
"Aqua Finance, Inc.",402
ZWICKER & ASSOCIATES,401
FIRST HORIZON BANK,396
"Remitly, Inc.",395
"Dave Operating, LLC",391
"Paramount Recovery Systems, L.P.",390
TMX Finance LLC,389
Credit Fresh Holdings Inc,384
"Duvera Billing Services, LLC",383
BOEING EMPLOYEES CREDIT UNION,376
DriveTime,375
"Revco Management, LLC",370
MORGAN STANLEY & CO. LLC,370
LendingPoint Holdings LLC,369
AMERICA FIRST FEDERAL CREDIT UNION,369
"GOLDEN 1 CREDIT UNION, THE",361
Synergetic Communication Inc,360
Albert Corporation,358
"Tesla, Inc.",354
LOBEL FINANCIAL CORPORATION,351
Village Capital & Investment LLC,349
American Coradius International LLC,348
"Adler Wallach & Associates, Inc.",346
"Grain Technology, Inc.",339
FourLeaf Federal Credit Union,334
"Sentry Credit, Inc.",333
1st Franklin Financial Corporation,331
"Optio Solutions, LLC",331
Central Research Inc,329
Professional Recovery Management,329
AMERISAVE MORTGAGE CORPORATION,329
RANDOLPH-BROOKS FEDERAL CREDIT UNION,328
"Crown Asset Management, LLC, Duluth, GA Branch",324
"OLIPHANT FINANCIAL, LLC",324
"Carter-Young, Inc.",324
"P&B Capital Group, LLC",323
"BROKER SOLUTIONS, INC.",323
Prince Parker & Associates,315
"GREENSKY OPERATIONS, LLC",312
"AR Resources, Inc.",312
"Reliant Capital Solutions, LLC",311
"WHEELS FINANCIAL GROUP, LLC.",309
"Skrill USA, Inc.",306
CIG FINANCIAL LLC,303
Rausch Sturm LLP,297
"Frontline Asset Strategies, LLC",295
"Americas Car-Mart, Inc.",291
"Veros Credit, LLC",290
"CMG Financial Services, Inc.",290
SinglePoint GI,290
COMMERCE BANK,289
"Goal Structured Solutions, LLC",287
"Shepherd Outsourcing, LLC",287
Southern Management Systems Inc.,287
"Law Office of Michael J. Scott, PC",286
"Advance America, Cash Advance Centers, Inc.",285
Harley Davidson Financial Services Inc,284
"Trident Asset Management, L.L.C.",283
SN SERVICING CORPORATION,280
FIRST NATIONAL BANK OF PENNSYLVANIA,280
"McCarthy, Burgess & Wolff, Inc.",280
Payward Ventures Inc. dba Kraken,279
"GLA Collection Company, Inc.",279
TomoCredit Inc.,279
Concord Servicing Corporation,277
"Commonwealth Financial Systems, Inc.",277
21ST MORTGAGE CORP.,276
WLCC,275
ASSOCIATED BANC-CORP,275
MECHANICS BANK,274
"Weltman, Weinberg & Reis Co., L.P.A.",272
"Synerprise Consulting Services, Inc.",270
Newport Intermediate Inc.,269
"The Outsource Group, Inc",268
Healthcare Finance Direct LLC.,268
"Oliphant United, Inc.",267
The Law Offices of Mitchell D. Bluhm & Associates,266
RUSHMORE LOAN MANAGEMENT SERVICES LLC,265
Linebarger Goggan Blair & Sampson LLP,264
Creditors Bureau Associates,264
R & B Corporation of Virginia,263
Park Hill Holdings,261
"Associated Credit Services, Inc.",261
SCHOOLSFIRST FEDERAL CREDIT UNION,261
"Client Services, Inc.",260
"Jon Barry and Associates, Inc.",259
Climb Credit Inc.,254
"Caliber Home Loans, Inc.",252
"Allied Collection Services, Inc. (Nevada)",250
"Alliance One, Inc.",250
UMB FINANCIAL CORPORATION,250
"Blitt and Gaines, P.C.",249
ZIONS BANCORPORATION,248
Data Mortgage Inc.,248
"Summit A*R, Inc.",248
WSFS FINANCIAL CORPORATION,245
Payfare International Inc.,245
"National Enterprise Systems, Inc.",245
"Kinum, Inc., Indianapolis, IN Branch",244
SUN LOAN COMPANY INC.,244
Contemporary Information Corp,243
"Williams, Rush & Associates, LLC",238
"American Profit Recovery, Inc., Marlborough, MA Branch",237
"CARDINAL FINANCIAL COMPANY, LIMITED PARTNERSHIP",235
"Gurstel Law Firm, P.C.",234
Millco Management,233
"Harpeth Financial Services, LLC",233
"Monarch Recovery Holdings, Inc.",233
CNG HOLDINGS INC,232
Sigue Corp.,231
Torriere Holdings INC,231
"LDF Holdings, LLC",230
"Pressler & Pressler, LLP",230
"Uplift, Inc",230
"ResidentCollect, Inc.",229
"Skopos Financial, LLC",229
"First Federal Credit Control, Inc.",229
"CULLEN/FROST BANKERS, INC.",228
CapitalJ Inc. dba Juno,227
AMERIS BANCORP,226
"Blockchain.com, Inc.",226
First Advantage LNS Inc.,224
"RS Clark and Associates, Inc.",222
Mercury Financial Intermediate LLC,222
Collection Bureau of America Ltd.,221
SG and Associates,219
"R.M. Galicia, Inc.",219
OLD NATIONAL BANCORP,218
"Certegy Holdings, LLC",218
The Phoenix Recovery Group,217
Fig Tech Inc.,217
Rosebud Economic Development Corporation,216
Revolut Technologies Inc.,216
"MERCANTILE ADJUSTMENT BUREAU, LLC",215
"Capital Accounts, LLC",214
"Berlin-Wheeler, Inc. (Kansas)",213
CHERRY TECHNOLOGIES INC.,212
"Rozlin Financial Group, Inc.",212
BlueChip Financial,212
USCB Corporation,210
"Collection Bureau of the Hudson Valley, Inc.",210
"Leafy Financial, LLC",209
"Mandarich Law Group, LLP",209
"Applied Data Finance, LLC",209
"Real Time Group, Inc.",208
"Nationwide Capital Services, LLC",208
"Mortgage Research Center, LLC",208
Entrata Inc.,208
"Lloyd & McDaniel, PLC",208
Driveway Finance Corporation,207
"COLUMBIA BANKING SYSTEM, INC.",205
"Bridge IT, Inc.",203
Wolf River Development Company,203
AVANTE,202
"Franklin Collection Service, Inc.",202
"Mobiloans, LLC",201
VALLEY NATIONAL BANCORP,200
"Northstar Location Services, LLC",200
"Advantage Credit, Inc.",199
NATIONAL DEBT RELIEF LLC,198
FIRSTBANK PUERTO RICO,198
"VANDERBILT MORTGAGE & FINANCE, INC",197
"Property Receivables, Corp",197
Sterling Infosystems Inc.,196
Transform Credit Inc.,195
Verisk Analytics Inc,195
"USCB, Inc.",195
"National Collection Systems, Inc.",194
"Merchants Adjustment Service, Inc.",194
Guild Holdings Company,193
Patient Accounting Service Center,193
Frost-Arnett Company,192
"GVA Holdings, LLC",192
"Professional Finance Company, Inc.",191
DigniFi,191
"Mid-Atlantic Finance Co., Inc.",191
"Valon Technologies, Inc.",191
"SERVICEMAC, LLC",191
Kashable LLC,191
Chime Inc.,191
"Capital Management Services, LP",191
"Omega RMS, LLC",189
InDebted Corporation,188
Credit Service International Corp,187
"CashRepublic Holdings, Inc.",186
"Volvo Car Financial Services U.S., LLC",186
"Uprova Credit, LLC",185
Credit Card Receivables Fund Incorporated,185
"MIB Group, Inc.",185
Southern Auto Finance Co,185
"F.H. Cann & Associates, Inc.",183
FULTON FINANCIAL CORPORATION,182
AUTOMOTIVE CREDIT CORPORATION,181
Kingston Data & Credit International Inc.,181
"Credit Central Holdings, LLC",181
CADENCE BANK,180
"Complete Credit Solutions, Inc.",179
"Elevate Recoveries, LLC",179
"Peer Advisors, LLC",178
Movement Mortgage LLC,178
"Asset Recovery Solutions, LLC",178
"Pavilion Payments US BuyerCo, LLC",178
SOUTHSTATE BANK CORPORATION,176
"Io, Inc.",176
"Jim Bottin Enterprises, Inc",175
"Merchants and Medical Credit Corporation, Inc.",175
SECURITY SERVICE FEDERAL CREDIT UNION,174
"Ray Klein, Inc.",174
"Happy Money, Inc.",172
"Meridian Financial Services, Inc.",171
2288984 Ontario Inc.,171
"Harvard Collections, LLC",170
CCM Finance LLC,168
"Herbert P. Sears Co., Inc.",168
"GFS II, LLC",167
"PlusFour, Inc",166
Yamaha Motor Finance Corporation USA,166
GLOBAL CREDIT UNION,165
"Branch Messenger, Inc.",165
CURO Intermediate Holdings,165
"Accscient, LLC",164
Grow Credit Inc,164
Merchants' Credit Guide Company,162
"Valor Intelligent Processing, LLC",162
"Populus Financial Group, Inc. (F/K/A Ace Cash Express)",162
"EVERBANK, NATIONAL ASSOCIATION",162
"State Collection Service, Inc.",161
GUARANTEED RATE INC.,159
"Ideal Collection Services, Inc.",159
"William D. Meeker Enterprises, Inc.",159
"CMRE Financial Services, Inc.",157
Atlantic Recovery Solutions LLC,155
ADIR INTERNATIONAL LLC,155
Sunlight Financial LLC,153
"Consumer Financial Services Solutions, Inc.",153
Aspen Yo LLC,153
Clark County Collection Service,153
Denefits LLC,153
"First National Collection Bureau, Inc.",153
Bright Capital Inc,152
"Financial Recovery Services, Inc.",152
Medical-Commercial Audit Inc,152
Foursight Holding LLC,151
"Mercury Technologies, Inc.",151
BOK FINANCIAL CORP,151
"SIMM Associates, Inc.",150
"Ria Envia, LLC",150
Hunt & Henriques,150
"Rubin & Rothman, LLC",149
"Sentry Recovery and Collections, Inc.",149
"Merchants & Medical Adjustment Bureau, Inc. dba Credit Bureau Associates",149
CARD Corporation,148
Financial Assistance Inc,148
Johnson Mark LLC,148
EAST WEST BANK,147
"Stenger & Stenger, P.C",146
One Source Technology,146
"The Best Service Co.,Inc",145
PREFERRED CREDIT INC,145
"Strategic Alliances, Inc.",145
"CrossCheck, Inc.",144
IQOR US INC,144
"Phillips & Cohen Associates, Ltd.",144
Georgia Student Finance Authority,143
Commercial Acceptance Company,143
"Sensible Auto Lending, LLC",142
"Servicing Solutions, LLC",141
KBR INC DBA RASH CURTIS & ASSOCIATES,140
"AmerAssist A/R Solutions, Inc.",140
"Torres Credit Services, Inc.",140
"AppFolio, Inc.",140
"R.A.Rogers, Inc.",139
"International Computer Systems, Inc.",139
Bonneville Billing and Collections,137
Earnest Inc.,136
Viking Client Services,136
"HireRight Solutions, Inc.",134
Consumer Collection Management. Inc,134
"KLS Financial Services, Inc",134
PRESTIGE FINANCIAL SERVICES INC,134
SIMMONS FIRST NATIONAL CORPORATION,133
BANKERS HEALTHCARE GROUP LLC,133
SAN DIEGO COUNTY CREDIT UNION,133
"Roadrunner Account Services, LLC",131
Starmark Financial LLC,130
Idaho Housing And Finance Association,130
"Deinde Online Services, LLC",129
SoLo Funds Inc.,129
"Capstone Credit & Collection, LLC.",129
"ECMC GROUP, INC.",128
"Cascade Capital, LLC",128
"Eastern Revenue, Inc.",127
"Bepensa Capital, Inc.",126
TRUSTMARK CORPORATION,126
"FMA Alliance, Ltd.",126
Zip Co US Inc.,126
"Braviant Holdings, LLC",125
"Arivo Acceptance, LLC",125
Credit Card Acquisitions Group,124
"Tenaglia & Hunt, PA",124
"Glasser and Glasser, PLC",124
"ATG Credit, LLC",124
"Key 2 Recovery, Inc.",123
Holloway Credit Solutions,123
"Lennar Financial Services, LLC",123
Meta Payments Inc.,122
"Relay Financial (US), Corp.",122
"Avadyne Health Holdings, Inc",122
"Flexible Finance, Inc.",121
"Javitch, Block & Rathbone LLC",120
"BANKMOBILE TECHNOLOGIES, INC",120
"ARS National Services, Inc.",120
Lendbuzz Inc.,120
"Home Loan Center, Inc.",119
HANCOCK WHITNEY BANK,119
Crow Creek Sioux Tribe,119
"J J Marshall & Associates, Inc",118
"CreditNinja Lending, LLC",118
Nelson Cruz & Associates LLC,118
Telerecovery Corporation,117
"Tilt Finance, Inc.",116
"Aspen National Financial, Inc.",116
"Duncan Solutions, lnc.",116
Western-Shamrock Corporation,116
"Express Recovery Services, Inc.",116
DOLLAR MUTUAL BANCORP,116
"Brock & Scott, PLLC",114
"Law Office of Brett M. Borland, P.C.",114
"Designed Receivable Solutions, Inc.",114
"AUSSRQ Holdings, LLC",114
Messerli & Kramer P.A.,113
"First Help Financial, LLC",113
WorldRemit Corp.,113
"Figure Technologies, Inc",113
"Federal Adjustment Bureau, Inc.",112
"College Ave Student Loan Servicing, LLC",112
"Total Card, Inc.",111
Alliant Capital Management LLC,111
"Absolute Recovery Services, LLC",111
Patenaude & Felix A Professional Corporation,110
BANK OZK,110
Financial Credit Network Inc,110
"Sunset Management, Inc",110
Hillcrest Davidson & Associates,110
"Professional Credit Management, Inc",109
"COLLECTIONS USA, INC.",109
"A.R.M. Solutions, Inc.",109
"EOS Holdings, Inc.",108
"Community Loan Servicing, LLC (formerly known as Bayview Loan Servicing, LLC)",108
The Aligned Company DBA Extra,108
"Automated Collection Services, Inc.",108
"U.S. Collections West, Inc.",108
Financial Business and Consumer Solutions.,107
"Momnt Technologies, Inc.",107
BAM Management US Holdings Inc.,107
"Americor Funding, LLC",107
Finance of America Holdings LLC,106
"Kansas Counselors, Inc.",106
"Transfinancial Companies, Inc",106
"DailyPay, Inc",105
"Seattle Service Bureau, Inc",105
Great American Finance Co,105
LAKE MICHIGAN CREDIT UNION,105
"FIRST INTERSTATE BANCSYSTEM, INC.",104
"Maury Cobb, Attorney at Law, LLC",104
U.S. Auto Credit Corporation,104
MORTGAGE SOLUTIONS OF COLORADO,103
"California Business Bureau, Inc.",103
FCI Lender Services Inc.,103
"Sparrow Financial, Inc.",103
"RAS LaVrar, LLC",102
"Steel River Systems, LLC",102
Loqbox US Inc,102
"Media Collections, Inc",102
"Round Up Ventures, L.P.",101
"M.A.R.S., Inc.",101
"Persolve, LLC - Legal - Series 2",101
"SCA Collections, Inc.",101
Statebridge Company,100
"The Stark Collection Agency, Inc.",100
"First Financial Resources, Inc.",100
"Credit Bureau Systems, Inc., Paducah, KY Branch",99
"MONEY SOURCE, INC., THE",99
"Hatfield, Inc.",99
UNIVERSAL ACCEPTANCE CORPORATION (NE),99
Scott Fetzer Financial Group Inc.,99
NORTHWEST BANCSHARES INC,99
"GULF COAST COLLECTION BUREAU, INC.",99
"Advanced Collection Bureau, Inc.",99
"FEDChex Recovery, LLC",99
"FIRST HAWAIIAN, INC.",98
"Financial Management Solutions, LLC",98
GREENSTATE CREDIT UNION,97
"Suttell, Hammer & White, P.S",97
"HOVG, LLC",97
Account Resolution Corporation,97
"FIDELITY CAPITAL HOLDINGS, INC",97
"Fairway Capital Recovery, LLC",97
The Moore Law Group,97
Grant & Weber,97
Kohn Law Firm S.C.,96
NBT BANCORP INC.,96
CAC Financial Corp,96
"Aldridge PIte Haan, LLP",95
"D&A Services, LLC",95
"Uetsa Tsakits, Inc. d/b/a MaxLend",95
"Wilber and Associates, P.C.",94
Indie Technology DBA Found,94
Activehours,94
Novo Platform Inc.,93
"Collection Receivables, Inc.",93
Essential Lending Inc,93
Informative Research,93
"Atlantic Union Bankshares, Inc.",93
"Dynamic Recovery Solutions, LLC",92
"Porsche Financial Services, Inc.",92
RENASANT CORPORATION,91
"Apelles, LLC",91
"Levy & Associates, LLC",91
"Nationwide Credit & Collection, Inc.",91
YSA ARM LLC DBA Oxygen XL,91
Marauder Corporation,90
"All State Credit Bureau, Inc.",90
"FlexShopper, Inc",90
"Click n' Close, Inc.",90
BANK OF HAWAII CORPORATION,90
"Galaxy Capital Acquisitions, LLC",90
"BetterNOI, LLC",90
GLOBAL SOLUTION BIZ LLC.,89
"ARC Management Group, LLC",89
BANK OF THE WEST,89
"Strategic Financial Solutions, LLC",88
Sequoia Financial Services,88
"American Collections Enterprise, Inc.",87
"Receivable Management Group, Inc. (GA)",86
Sunnova Energy Corporation,86
