product,complaint_what_happened,date_sent_to_company,issue,sub_product,zip_code,tags,complaint_id,timely,consumer_consent_provided,company_response,submitted_via,company,date_received,state,consumer_disputed,company_public_response,sub_issue,id
Credit reporting or other personal consumer reports,,2025-08-28T12:00:00-05:00,Incorrect information on your report,Credit reporting,30305,,15573614,Yes,Consent not provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2025-08-28T12:00:00-05:00,GA,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Account status incorrect,15573614
"Credit reporting, credit repair services, or other personal consumer reports",A letter was sent for dispute which included an affidavit attached for fraudulent information reporting on my credit file. There are two accounts that are inaccurately appearing on my credit report from your company. According to FCRA 609 you all have the obligation to remove fraudulent information from my credit report. At this time more than 30 days has passed and I have yet to receive a reply or correction on my credit reports. I have contacted all 3 major credit bureaus to correct and they claim you have verified the information but have yet to send any proof of my consent to these accounts.,2020-11-20T12:00:00-05:00,Incorrect information on your report,Credit reporting,30213,Servicemember,3966693,Yes,Consent provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2020-11-20T12:00:00-05:00,GA,N/A,Company believes it acted appropriately as authorized by contract or law,Information belongs to someone else,3966693
Consumer Loan,,2015-09-29T12:00:00-05:00,Taking out the loan or lease,Vehicle loan,66109,,1585588,Yes,Consent not provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2015-09-29T12:00:00-05:00,KS,No,Company believes it acted appropriately as authorized by contract or law,,1585588
Mortgage,,2019-11-05T12:00:00-05:00,Applying for a mortgage or refinancing an existing mortgage,Other type of mortgage,89108,,3428996,Yes,N/A,Closed with explanation,Referral,UNITED SERVICES AUTOMOBILE ASSOCIATION,2019-11-04T12:00:00-05:00,NV,N/A,Company believes it acted appropriately as authorized by contract or law,,3428996
Checking or savings account,"I am writing to express my deep concern regarding the recent closure of my USAA account. Despite multiple instances of my account being compromised due to security lapses on USAAs part, I have consistently taken all necessary precautions to protect my account. Unfortunately, these breaches have occurred repeatedly, highlighting a significant issue with the security measures in place. 
To my dismay, USAA has decided to close my account without providing a clear reason. This decision has been made despite the fact that the security breaches were not due to any fault of my own. Additionally, I am facing difficulties with the processing of my insurance claim for my apartment, which remains unresolved. 

Following my XXXX XXXX in XXXX, which affected my memory due to an XXXX, I have observed a noticeable decline in the quality of treatment I have received. I believe this change in treatment is unjust and may be influenced by my being XXXX. 
I kindly request a thorough review of my situation and an explanation for the treatment I have experienced. It is crucial that all people receive fair and respectful care, regardless of their background. 

I kindly request a thorough review of my case and a detailed explanation for the account closure. Furthermore, I urge USAA to address the pending insurance claim promptly.",2024-12-05T12:00:00-05:00,Closing an account,Checking account,85339,,11044971,Yes,Consent provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2024-12-05T12:00:00-05:00,AZ,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Company closed your account,11044971
Credit card or prepaid card,,2017-06-09T12:00:00-05:00,Fees or interest,General-purpose credit card or charge card,90046,,2534584,Yes,N/A,Closed with explanation,Referral,UNITED SERVICES AUTOMOBILE ASSOCIATION,2017-06-08T12:00:00-05:00,CA,N/A,Company believes it acted appropriately as authorized by contract or law,Problem with fees,2534584
Debt collection,,2025-09-10T12:00:00-05:00,Took or threatened to take negative or legal action,I do not know,31909,,15829763,Yes,Consent not provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2025-09-09T12:00:00-05:00,GA,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Threatened or suggested your credit would be damaged,15829763
Credit card or prepaid card,"On XX/XX/XXXX, my wife, XXXX XXXX XXXX, received a call from USAA informing us that our USAA Platinum card was delinquent and requested a payment. She informed them that the only Platinum card we had was with XXXX XXXX and all of our accounts were current. 

The operator then instructed us to log into USAA to view the statement as well as the history. We then ended the call, XXXX logged into her account and there was no indication of any platinum card on her login account. 

I then attempted to log into USAA using my information ( my wife and I have two different usernames ) and was informed that my password was incorrect. I have used the same password for many, many years. So, I called USAA. I was informed that my account 's address and password had been changed and their records reflected me living in XXXX. Neither my wife nor I have traveled to, purchased from or have any connection with anyone in XXXX. 

They went through their process to reset my account to accurately reflect not only the only address we have had since XXXX ( we have been married and living here since XX/XX/XXXX ) but also reset my password. I was then advised to sign on and access the account. I was also informed that the card was processed using my information and only with my name - not jointly. I have never had an account ( since we have been married ) in only my name. 

When I logged in, I discovered not one, but two, transactions were made ( XX/XX/XXXX - {$18000.00} and XXXX - {$18000.00} ). First of all, we shop at thrift stores and XXXX- we would never make these purchases. We called and spoke with USAA several times and finally the account was frozen or closed and marked as being a fraudulent, identity theft case. Copies of two month 's statements is attached for your reference. 

The account was referred to USAA 's fraud department at XXXX XXXX  on XX/XX/XXXX through XXXX ( XXXX. #, XXXX ). As I am hard of hearing and my XXXX XXXX was rising as a result of this, I instructed ( and continue to do so each time we place a call with USAA concerning this garbage ) to speak with my wife. We were given the number XXXX XXXX XXXX XXXX for XXXX XXXX XXXX. 

We were then referred to another team XXXX XXXX XXXX for debt solutions. We have also spoke with XXXX at XXXX XXXX XXXX ( another Fraud Department operator. We were instructed to contact the local police department here in XXXX, Colorado. They sent two officers ( one was XXXXXXXX XXXX XXXXXXXX XXXX. XXXX ). Their address is XXXX XXXX XXXX XXXX, XXXX CO XXXX. His number is XXXX XXXX XXXX. We were informed that they couldn't file a report since nothing had been taken from us. We were provided a flyer for Identity Theft Complaint but were informed there wasn't anything they could do. He then informed us to contact all three of the credit agencies, which we did, and let them know what had happened. 

We then were contacted by our bank ( XXXX XXXX XXXX XXXX, XXXX XXXX XXXX XXXX XXXX XXXX CO XXXX XXXX XXXX XXXX XXXX ) informing us that there were two demands for payment ( received XXXX and XXXX ) for {>= $1,000,000}. We immediately went to the bank and had to close that account and open another account to protect ourselves. XXXX provided a flyer as well as instructions to reach out to the credit agencies as well. Again, we did this. A copy of the two demands is attached as a ZIP file. 

Calls then continued to come in from USAA demanding payment. The credit card department ( if you will ) is separate from the fraud department and neither of them really connect. Over and over we have been informed that the Fraud Department is working on this. Now? Our credit rating has dropped XXXX points, USAA has turned this matter over to collection. What more can we do? I am retired, I have low income. My wife is nearing retirement. We both have health issues. Not that is your concern, but is it going to take one of us to pass in order for this to be resolved? 

We truly have no idea what more we can do.",2022-05-28T12:00:00-05:00,Problem with a purchase shown on your statement,General-purpose credit card or charge card,XXXXX,"Older American, Servicemember",5619350,Yes,Consent provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2022-05-28T12:00:00-05:00,CO,N/A,Company believes it acted appropriately as authorized by contract or law,Card was charged for something you did not purchase with the card,5619350
Bank account or service,,2014-10-02T12:00:00-05:00,Problems caused by my funds being low,Checking account,01850,,1046353,Yes,N/A,Closed with monetary relief,Referral,UNITED SERVICES AUTOMOBILE ASSOCIATION,2014-09-26T12:00:00-05:00,MA,No,,,1046353
Checking or savings account,,2018-08-23T12:00:00-05:00,Opening an account,Checking account,08817,,3000104,Yes,Other,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2018-08-23T12:00:00-05:00,NJ,N/A,Company believes it acted appropriately as authorized by contract or law,Account opened as a result of fraud,3000104
