product,cluster_column,cluster_label,cluster_name
"Money transfer, virtual currency, or money service",cluster_label_20,9,**Frozen Account & Withheld Funds**
"Money transfer, virtual currency, or money service",cluster_label_20,17,**Financial Fraud and Unresolved Consumer Loss**
"Money transfer, virtual currency, or money service",cluster_label_20,14,**Unjustified Account Restrictions & Fund Holds**
"Money transfer, virtual currency, or money service",cluster_label_20,21,**Payment Fraud & Unrecoverable Losses**
"Money transfer, virtual currency, or money service",cluster_label_20,5,**Funds Access and Dispute Resolution Failures**
"Money transfer, virtual currency, or money service",cluster_label_20,19,Mobile Payment Platform Transaction Disputes & Account Mismanagement
"Money transfer, virtual currency, or money service",cluster_label_20,37,**Fraudulent Payments and Unresolved Fund Recovery**
"Money transfer, virtual currency, or money service",cluster_label_20,1,**Payment Fraud & Refund Disputes**
"Money transfer, virtual currency, or money service",cluster_label_20,13,**Customer Support and Transaction Resolution Failures**
"Money transfer, virtual currency, or money service",cluster_label_20,27,Payment‑App Fund Lockouts & Fraud Recovery Issues
"Money transfer, virtual currency, or money service",cluster_label_20,22,**Unauthorized Transactions & Account Lockouts**
"Money transfer, virtual currency, or money service",cluster_label_20,38,**Digital‑Payment App Account & Transaction Dispute Issues**
"Money transfer, virtual currency, or money service",cluster_label_20,41,**Unauthorized Account Activity & Funds Mismanagement**
"Money transfer, virtual currency, or money service",cluster_label_20,43,**Unauthorized Transfers & Account Mismanagement**
"Money transfer, virtual currency, or money service",cluster_label_20,32,**Unauthorized Charges & Account Lockout Issues**
"Money transfer, virtual currency, or money service",cluster_label_20,45,**Incorrect Recipient Payments and Unrecoverable Funds**
"Money transfer, virtual currency, or money service",cluster_label_20,47,**Online payment platform transaction & account disputes**
"Money transfer, virtual currency, or money service",cluster_label_20,3,**Mobile Payment Fraud & Account Access Problems**
"Money transfer, virtual currency, or money service",cluster_label_20,46,**Unauthorized Payments & Account Access Disputes**
"Money transfer, virtual currency, or money service",cluster_label_20,16,**Improper Fund Seizure and Transaction Dispute Issues**
