distance_threshold,num_clusters,avg_cluster_size,silhouette,calinski_harabasz,davies_bouldin,product
5,818,66.3960880195599,0.3089030385017395,255.07598876953125,2.591984193025873,"Money transfer, virtual currency, or money service"
10,174,312.13793103448273,0.291343092918396,879.75732421875,3.0214987781217926,"Money transfer, virtual currency, or money service"
15,74,733.9459459459459,0.26142367720603943,1789.29052734375,3.083718750696065,"Money transfer, virtual currency, or money service"
20,49,1108.408163265306,0.2844245731830597,2522.809326171875,2.924732613734323,"Money transfer, virtual currency, or money service"
25,33,1645.8181818181818,0.27282845973968506,3495.1357421875,2.775293006043846,"Money transfer, virtual currency, or money service"
30,24,2263.0,0.2646595537662506,4542.64306640625,2.531879315991357,"Money transfer, virtual currency, or money service"
35,21,2586.285714285714,0.3401375412940979,5079.3603515625,2.605669826896217,"Money transfer, virtual currency, or money service"
40,16,3394.5,0.4150332510471344,6352.220703125,2.6692204531219823,"Money transfer, virtual currency, or money service"
5,1126,28.324156305506218,0.10023155808448792,63.082542419433594,2.742974915031395,Checking or savings account
10,204,156.33823529411765,0.09642256051301956,250.717041015625,3.5539529396571954,Checking or savings account
15,87,366.58620689655174,0.11833374202251434,511.99700927734375,3.6074647487704103,Checking or savings account
20,51,625.3529411764706,0.14671005308628082,808.3775024414062,3.573361080343064,Checking or savings account
25,39,817.7692307692307,0.1430424302816391,1010.2900390625,3.4866056774978653,Checking or savings account
30,26,1226.6538461538462,0.1833316832780838,1416.775634765625,3.2798540555509423,Checking or savings account
35,21,1518.7142857142858,0.18280267715454102,1694.7818603515625,3.21356339542394,Checking or savings account
40,18,1771.8333333333333,0.18054048717021942,1926.80615234375,3.184536530770014,Checking or savings account
5,839,25.432657926102504,0.005577856209129095,42.061283111572266,2.860872898706114,Credit card
10,150,142.25333333333333,-0.004013468977063894,166.55772399902344,3.6614420718711145,Credit card
15,65,328.2769230769231,-0.003725656308233738,331.9620056152344,3.823940490441758,Credit card
20,32,666.8125,0.023642512038350105,605.6409912109375,4.0768104482532515,Credit card
25,20,1066.9,0.02338535152375698,912.7528076171875,4.346500214022067,Credit card
30,13,1641.3846153846155,0.022320810705423355,1351.385986328125,4.289365849922574,Credit card
35,10,2133.8,0.018277743831276894,1731.5250244140625,4.320822225635554,Credit card
40,9,2370.8888888888887,0.0167988333851099,1910.232421875,3.9477446795085234,Credit card
5,922,16.535791757049893,0.08682483434677124,37.840389251708984,2.1876480702541166,Credit reporting or other personal consumer reports
10,152,100.30263157894737,0.03495779260993004,139.70413208007812,3.1067249362178906,Credit reporting or other personal consumer reports
15,67,227.55223880597015,0.031828634440898895,264.4217834472656,3.3108347046468647,Credit reporting or other personal consumer reports
20,36,423.5,0.03247641399502754,435.30572509765625,3.4917031876560425,Credit reporting or other personal consumer reports
25,23,662.8695652173913,0.023212984204292297,624.0653076171875,3.116986004302092,Credit reporting or other personal consumer reports
30,18,847.0,0.014983652159571648,759.184326171875,3.157828072907577,Credit reporting or other personal consumer reports
35,12,1270.5,0.013127871789038181,1065.9404296875,3.193361944558171,Credit reporting or other personal consumer reports
40,8,1905.75,0.020821597427129745,1539.849609375,3.6722575884044333,Credit reporting or other personal consumer reports
5,283,15.56183745583039,0.03090914711356163,27.07759666442871,2.4079215990463205,Debt collection
10,48,91.75,0.03327459469437599,100.80853271484375,3.2916473617058615,Debt collection
15,18,244.66666666666666,0.023983312770724297,222.364501953125,3.495729530869368,Debt collection
20,10,440.4,0.018919585272669792,371.8046875,3.88984262322034,Debt collection
25,6,734.0,0.041383519768714905,604.2640991210938,3.5767843096975955,Debt collection
30,6,734.0,0.041383519768714905,604.2640991210938,3.5767843096975955,Debt collection
35,5,880.8,0.03900529816746712,718.788818359375,3.043775451635083,Debt collection
40,3,1468.0,0.1638486087322235,1239.2255859375,2.3314808467521986,Debt collection
5,89,18.752808988764045,0.021574154496192932,27.351938247680664,2.5561342638195996,Vehicle loan or lease
10,14,119.21428571428571,0.0393114909529686,116.010498046875,3.4691063585327098,Vehicle loan or lease
15,7,238.42857142857142,0.05584830790758133,217.08616638183594,3.480779259086817,Vehicle loan or lease
20,5,333.8,0.06282630562782288,298.5606384277344,2.9905977935978814,Vehicle loan or lease
25,3,556.3333333333334,0.1703396439552307,502.727294921875,2.2565309644522054,Vehicle loan or lease
30,3,556.3333333333334,0.1703396439552307,502.727294921875,2.2565309644522054,Vehicle loan or lease
35,3,556.3333333333334,0.1703396439552307,502.727294921875,2.2565309644522054,Vehicle loan or lease
40,3,556.3333333333334,0.1703396439552307,502.727294921875,2.2565309644522054,Vehicle loan or lease
5,92,19.032608695652176,0.02174900285899639,25.98849868774414,2.5995234581326607,Prepaid card
10,17,103.0,0.035646580159664154,95.77550506591797,3.0345013714769613,Prepaid card
15,11,159.1818181818182,0.05875226855278015,135.1400909423828,2.957290525154674,Prepaid card
20,6,291.8333333333333,0.07011106610298157,219.5849151611328,2.815578378080352,Prepaid card
25,4,437.75,0.09961453080177307,310.8318176269531,2.141683687182789,Prepaid card
30,4,437.75,0.09961453080177307,310.8318176269531,2.141683687182789,Prepaid card
35,4,437.75,0.09961453080177307,310.8318176269531,2.141683687182789,Prepaid card
40,3,583.6666666666666,0.14554426074028015,371.83624267578125,2.151301317760033,Prepaid card
5,58,21.43103448275862,0.019363967701792717,29.806291580200195,2.617590553843613,Mortgage
10,10,124.3,0.05719991400837898,124.54168701171875,3.6299955952415814,Mortgage
15,6,207.16666666666666,0.053464893251657486,196.749267578125,3.027957522531515,Mortgage
20,3,414.3333333333333,0.19438670575618744,399.2166442871094,2.1001868289372574,Mortgage
25,3,414.3333333333333,0.19438670575618744,399.2166442871094,2.1001868289372574,Mortgage
30,3,414.3333333333333,0.19438670575618744,399.2166442871094,2.1001868289372574,Mortgage
35,3,414.3333333333333,0.19438670575618744,399.2166442871094,2.1001868289372574,Mortgage
40,2,621.5,0.25223928689956665,555.1063232421875,1.286304655518871,Mortgage
5,28,14.821428571428571,0.04960044100880623,17.101408004760742,2.4415113816753427,"Payday loan, title loan, personal loan, or advance loan"
10,5,83.0,0.05747212842106819,66.91581726074219,2.6039910430204425,"Payday loan, title loan, personal loan, or advance loan"
