product,best_distance_threshold,num_clusters,silhouette,calinski_harabasz,davies_bouldin
"Money transfer, virtual currency, or money service",40,16,0.4150332510471344,6352.220703125,2.531879315991357
Checking or savings account,30,26,0.1833316832780838,1926.80615234375,3.184536530770014
Credit card,20,32,0.023642512038350105,1910.232421875,3.9477446795085234
Credit reporting or other personal consumer reports,20,36,0.03247641399502754,1539.849609375,3.116986004302092
Debt collection,40,3,0.1638486087322235,1239.2255859375,2.3314808467521986
Vehicle loan or lease,25,3,0.1703396439552307,502.727294921875,2.2565309644522054
Prepaid card,40,3,0.14554426074028015,371.83624267578125,2.141683687182789
Mortgage,40,2,0.25223928689956665,555.1063232421875,1.286304655518871
"Payday loan, title loan, personal loan, or advance loan",20,2,0.23530012369155884,168.9215087890625,1.4153711282893178
Student loan,10,2,0.34250667691230774,24.50299072265625,1.1153248022333473
Debt or credit management,20,2,0.16526971757411957,46.00975036621094,2.021129380061992
